SupplierID,SupplierName,Region,Country,Industry,ProductCategory,ForecastMethod,SupplierTargetFlag,BaselineYear,BaselineEmissions_tCO2e,CurrentEmissions2025_tCO2e,BaseReduction2030Pct,DefaultAdditionalReductionPct,DefaultExpertAdjustmentPct,DefaultGrowthAdjustmentPct,NetZeroTargetYear,DataQualityScore,Scope1Pct,Scope2Pct,Scope3Pct,ContactOwner
SUP-001,Atlas Mining Co.,APAC,Australia,Mining,Iron Ore,Supplier Target,Y,2018,30950,27650,36,5,0,2,2048,94,18,14,68,Procurement - Metals
SUP-002,Northern Ore Partners,EMEA,Sweden,Mining,Copper Concentrate,Supplier Target,Y,2018,23750,21200,34,5,0,2,2048,92,17,13,70,Procurement - Metals
SUP-003,Sierra Minerals,AMER,Chile,Mining,Lithium Carbonate,Expert Judgement,N,2018,20600,18400,24,5,3,2,2050,86,20,15,65,Procurement - Battery
SUP-004,Green Ridge Mining,APAC,Indonesia,Mining,Nickel Matte,Supplier Target,Y,2018,16850,15050,38,5,0,2,2045,93,22,13,65,Procurement - Battery
SUP-005,BlueRock Aggregates,AMER,Canada,Mining,Aggregate,Expert Judgement,N,2018,13450,12000,22,5,3,2,2050,84,21,11,68,Construction Sourcing
SUP-006,Terra Excavation,EMEA,South Africa,Mining,Manganese,Supplier Target,Y,2018,22700,20250,32,5,0,2,2047,91,19,15,66,Procurement - Metals
SUP-007,Horizon Steelworks,APAC,India,Steel,Hot Rolled Coil,Supplier Target,Y,2018,26950,24050,35,5,0,2,2048,95,29,18,53,Direct Materials
SUP-008,Pioneer Metals,EMEA,Germany,Steel,Stainless Steel,Supplier Target,Y,2018,22550,20150,33,5,0,2,2047,93,27,17,56,Direct Materials
SUP-009,Riverbend Steel,AMER,United States,Steel,Rebar,Expert Judgement,N,2018,18600,16600,23,5,3,2,2050,85,30,16,54,Construction Sourcing
SUP-010,Kanto Specialty Steel,APAC,Japan,Steel,Precision Steel,Supplier Target,Y,2018,17400,15550,37,5,0,2,2046,94,25,19,56,Engineering Sourcing
SUP-011,Crescent Alloy Ltd.,EMEA,Turkey,Steel,Alloy Bar,Expert Judgement,N,2018,14500,12950,21,5,3,2,2050,82,31,14,55,Direct Materials
SUP-012,Metro Sheet Metals,AMER,Mexico,Steel,Sheet Metal,Supplier Target,Y,2018,16250,14500,31,5,0,2,2049,90,26,18,56,Engineering Sourcing
SUP-013,Continental Cement,EMEA,France,Cement,Clinker,Supplier Target,Y,2018,24400,21800,34,5,0,2,2048,93,34,12,54,Construction Sourcing
SUP-014,Summit Cement Group,AMER,United States,Cement,Portland Cement,Expert Judgement,N,2018,21100,18850,24,5,3,2,2050,84,36,11,53,Construction Sourcing
